clientnum,total_relationship_count,total_revolving_bal,total_amt_chng_q4_q1,total_trans_amt,total_ct_chng_q4_q1,total_trans_ct
717603858,1,1775,0.522,4325,0.75,77
717602733,4,0,0.726,4165,0.634,67
717600483,2,628,0.837,7358,0.642,87
717599283,3,1206,0.69,1844,0.75,49
717596883,4,1233,0.859,5270,1,78
717595908,5,2188,0.572,1688,0.452,45
717592758,3,1578,0.85,2418,0.467,44
717591483,4,2044,0.994,1924,0.92,48
717585858,5,1679,0.834,2795,0.833,55
717583908,1,1395,0.625,7603,0.588,81
717582558,4,1185,0.725,3874,0.714,72
717581658,4,1586,1.676,1729,0.75,35
717580458,2,0,0.969,7847,0.75,63
717579258,2,1462,1.031,4782,0.351,50
717578358,5,1704,0.819,4334,0.739,80
717575958,6,479,0.838,2349,0.312,42
717574683,6,1146,0.622,4756,0.735,85
717571683,2,0,0.196,4536,0.605,61
717570258,6,1722,0.973,4455,0.763,67
717569283,3,1338,0.741,4252,0.591,70
717568308,4,0,0.703,4355,0.857,78
717567333,6,1982,0.748,1661,0.944,35
717565233,2,1318,0.862,13303,0.804,92
717561108,4,549,0.78,1629,0.778,32
717559533,1,1161,0.74,8212,0.695,100
717556758,1,2267,0.842,14934,0.823,113
717553683,1,2517,0.774,4608,1.033,61
717551358,4,2517,0.983,2279,0.6,56
717549408,3,0,0.751,3024,1.04,51
717548358,3,2265,0.824,1665,0.629,57
717547383,2,1392,0.736,4233,0.791,77
717545808,3,1987,0.667,4549,0.75,70
717541308,2,1441,0.704,4838,0.735,85
717539808,3,0,0.731,1276,1.333,21
717538683,3,1132,0.942,3204,0.73,64
717535083,2,1121,0.578,7153,0.647,84
717534108,3,1410,0.866,4421,0.881,79
717531483,5,964,0.526,4444,0.642,87
717529233,4,0,0.262,4840,0.375,44
717524433,5,0,0.825,4700,0.704,92
717521508,2,2098,0.746,6932,0.526,87
717518733,4,764,0.994,7106,0.906,61
717517758,3,845,1.328,2307,0.8,45
717516333,6,905,0.817,4125,0.822,82
717513933,2,0,0.626,7385,0.429,90
717511533,4,1191,0.669,2950,0.977,87
717504258,4,1199,0.886,1573,0.75,35
717502083,4,0,0.903,2718,0.63,44
717500133,3,599,0.635,4240,0.853,63
717499083,3,0,0.958,3013,0.696,78
717495258,6,916,0.863,1893,0.565,36
717494358,2,1334,0.66,15068,0.685,123
717491058,6,1747,0.311,4012,0.429,60
717490008,5,1622,0.75,4282,0.926,52
717489033,6,0,0.781,2641,0.6,40
717487983,4,2120,0.625,2062,0.486,55
717483558,3,1353,1.41,3547,0.649,61
717482658,3,0,0.823,14485,0.738,106
717480783,3,2101,0.626,15152,0.695,100
717478983,6,1961,0.866,2697,0.789,68
717477783,1,2389,0.427,1563,0.44,36
717472833,6,713,0.833,4253,0.78,73
717471933,2,1434,0.715,8202,0.679,89
717469158,6,1385,0.565,1606,0.421,54
717466158,3,1248,0.434,4889,0.632,62
717464958,3,0,0.787,14475,0.682,111
717463608,5,1407,0.77,4116,0.975,79
717461283,3,570,0.688,2066,0.25,45
717457008,3,0,0.866,7991,1.093,90
717451833,6,2517,0.607,4547,0.861,67
717450633,3,1544,0.408,1920,0.345,39
717448383,1,0,0.865,2331,0.286,36
717446208,6,1980,0.706,5083,0.643,69
717444558,4,1714,0.807,5237,0.81,76
717443658,4,0,0.688,4715,0.841,81
717442758,5,1452,1.194,4141,0.612,79
717439983,1,2517,0.979,8293,0.703,63
717437058,4,681,1.021,2167,0.727,57
717432933,3,1387,0.899,4587,0.551,76
717429258,3,500,0.784,2450,0.406,45
717427983,4,2422,1.003,2682,0.641,64
717424458,3,1823,0.617,1166,1.444,22
717420333,4,2517,0.877,2701,0.714,60
717418158,4,1839,0.69,1230,0.889,34
717414933,3,2049,0.501,3818,0.605,61
717413658,6,989,0.86,1987,0.808,47
717412608,3,0,0.419,738,0.231,16
717411483,4,1194,1.056,3731,0.816,69
717410508,4,1281,0.975,3303,0.795,70
717409533,1,1486,0.827,2824,0.387,43
717406983,4,0,0.535,8395,0.722,62
717405408,3,1911,0.723,4143,0.864,82
717403158,1,2076,0.876,14218,0.759,102
717401883,5,1130,0.963,1694,0.76,44
717400533,5,789,1.039,4839,0.769,92
717399183,6,1176,1.164,2774,0.625,52
717397983,2,958,0.646,7570,0.633,98
717395733,4,688,0.717,4512,0.976,81
717392358,6,1078,0.79,1786,0.786,50
717390408,5,0,0.581,7590,0.776,87
717389433,3,0,0.649,3638,0.634,67
717387933,6,2257,0.75,3837,0.781,57
717385983,6,0,0.859,1645,0.667,30
717385083,2,1122,0.659,4813,0.706,87
717384183,1,2048,0.725,4863,1.135,79
717382608,2,2517,0.796,8780,0.654,86
717381183,3,752,0.963,4513,0.966,57
717380133,6,1909,0.371,4218,0.636,72
717376758,4,1324,0.762,4108,0.846,72
717374358,3,1998,1.412,2161,0.931,56
717371583,1,400,0.528,1954,0.5,45
717370533,1,2088,0.627,6453,0.589,89
717368208,6,0,0.716,2138,0.593,43
717365958,4,0,0.851,4765,1.088,71
717364458,6,1445,1.07,2053,1.75,33
717359208,2,1779,0.536,4037,0.756,72
717358158,5,1189,0.95,3215,0.882,64
717355533,3,1307,0.558,13759,0.765,120
717354558,3,1120,1.045,683,0.7,17
717353433,1,1542,0.759,13015,0.857,104
717348258,4,1899,1.349,2502,1,48
717346833,3,0,0.603,3764,0.52,76
717343833,4,2094,0.709,4518,0.83,86
717340608,1,1873,0.629,7703,0.677,104
717338733,3,0,0.968,2801,0.674,72
717336408,5,1411,0.642,2452,0.63,44
717334233,1,2517,0.669,4804,0.881,79
717332733,5,0,1.06,2851,0.739,80
717331758,6,2517,0.765,4228,0.596,83
717327783,4,1476,0.952,2760,1,44
717325158,3,883,0.708,4474,0.853,63
717324183,3,1288,0.774,14769,0.63,119
717322833,5,1988,0.644,1578,0.579,30
717321783,5,1274,0.445,1617,0.424,47
717316008,6,0,0.717,14977,0.721,117
717310458,3,938,0.988,2960,0.757,65
717308433,3,0,0.493,2253,0.345,39
717307158,2,1314,0.925,5331,0.612,79
717301908,3,1624,0.573,1973,0.667,55
717299958,3,1534,0.785,4185,0.784,66
717297708,6,1672,0.893,4439,0.682,74
717296808,4,2517,2.053,1661,1,32
717295683,5,1881,0.622,1546,1.059,35
717292758,5,0,0.466,1161,0.375,44
717291333,2,0,0.719,15110,0.823,113
717287883,6,2517,0.473,1532,0.5,24
717284133,1,2517,0.75,4520,0.68,84
717283008,2,1378,0.859,15225,0.862,108
717281658,3,1687,0.563,3953,0.711,65
717280158,3,1817,0.739,3332,0.667,60
717278808,4,0,1.001,3511,0.931,56
717277833,6,2080,1.067,2294,0.452,45
717276708,3,2517,0.589,1470,1.143,30
717273333,3,0,0.77,4575,0.68,84
717271983,6,1388,0.791,3261,0.684,64
717268458,4,1713,0.657,1952,0.667,50
717267108,6,1410,0.839,2061,0.649,61
717265983,3,2066,0.463,3749,0.667,80
717262833,5,2043,0.692,4345,0.468,69
717261708,4,1248,0.512,1548,0.519,41
717260058,6,1284,0.673,1573,0.929,27
717257658,2,1942,0.8,7971,0.787,84
717255333,1,0,0.824,2729,0.467,44
717252483,3,0,0.729,2196,0.75,35
717251508,1,0,0.776,14127,0.731,116
717249783,5,740,1.124,1931,0.718,67
717248583,4,1871,0.859,7849,0.63,88
717247383,5,0,0.514,4789,0.408,69
717244683,3,1467,0.696,7409,0.679,89
717242058,2,0,0.764,2134,0.355,42
717241233,3,1341,0.757,14112,0.809,123
717239133,5,642,0.553,3939,0.875,60
717237708,3,1878,0.847,3982,0.871,58
717234183,4,629,0.771,1718,0.762,37
717233058,3,1240,0.843,1524,0.824,31
717231558,2,1446,0.815,4851,0.947,74
717229158,6,969,0.999,1893,2.75,15
717225258,6,1048,0.509,2383,0.595,59
717222033,3,1198,0.76,4272,0.81,76
717219933,4,628,0.689,1930,0.6,48
717217983,6,2517,0.959,5409,0.881,79
717214158,5,0,0.859,15475,0.679,94
717212958,6,2415,0.492,3153,0.583,57
717211608,6,1221,0.602,4776,0.889,68
717208833,2,0,0.789,2703,1,56
717207408,4,666,0.914,2995,0.875,60
717206508,3,1806,0.765,1543,0.591,35
717203958,6,988,0.569,1842,1.133,32
717202908,3,1804,0.934,4270,0.639,59
717202083,2,0,0.838,2619,0.519,41
717200508,3,2038,0.675,4734,0.659,73
717198633,6,1469,1.322,2556,1.13,49
717195933,2,0,0.857,2431,0.542,37
717192933,3,2517,0.661,1576,0.789,34
717190533,6,661,0.725,1282,0.778,32
717189183,6,1961,0.713,2665,0.667,65
717185658,4,0,0.799,8531,0.791,77
717182883,3,1432,0.855,4169,0.947,74
717181833,5,891,0.678,3768,0.967,59
717180633,4,1372,1.642,1704,0.458,35
717179508,6,1565,0.73,4011,0.838,68
717177783,1,0,1.08,15549,0.833,121
717176508,5,1166,0.586,4171,0.818,80
717174558,2,0,0.733,7733,0.884,81
717173358,1,1881,0.717,14418,0.754,100
717172308,4,0,0.532,1731,0.28,32
717171408,6,0,0.57,2021,0.783,41
717167283,4,0,0.597,1846,0.647,56
717166383,5,1465,0.857,5097,0.673,82
717159858,5,1351,0.623,2319,0.743,61
717151383,3,1603,0.432,3616,0.545,85
717147708,6,1270,0.792,4250,0.929,81
717146208,1,2517,0.703,2828,1.083,50
717141858,4,625,0.673,3151,0.595,67
717140733,1,831,0.707,9065,0.735,85
717139608,3,1817,0.717,4635,0.711,65
717138558,5,0,0.737,1813,0.409,31
717136533,4,835,0.721,4883,0.825,73
717135333,3,1390,0.724,13204,0.796,97
717134058,5,1131,0.624,4028,0.8,81
717132633,3,1466,1.236,3066,0.694,61
717131283,5,1579,0.753,4712,0.914,67
717130383,4,707,0.561,1386,0.5,30
717129333,3,0,0.744,4434,0.78,73
717128283,5,2409,0.929,2305,0.941,33
717127083,3,1733,0.635,2076,0.487,58
717125958,6,1581,0.738,4747,0.778,80
717124983,3,0,0.564,1459,0.538,20
717123858,5,1617,0.828,4045,1.067,62
717121758,5,2517,0.674,4627,0.659,68
717114708,3,1830,0.777,4414,0.878,77
717112533,6,0,0.745,4058,0.725,88
717109983,3,2138,0.742,7768,0.729,83
717107808,6,1218,0.752,4600,0.617,76
717105258,3,1289,1.008,2181,0.6,32
717103758,5,0,0.908,2616,0.826,42
717100833,6,0,0.498,1401,0.722,31
717099408,6,0,0.729,4583,0.851,87
717098208,5,950,0.726,1961,0.545,51
717096858,4,719,0.711,4828,0.529,78
717095733,6,2517,0.785,4284,1.3,69
717094758,5,0,0.812,4453,0.787,84
717093858,4,1490,0.727,3664,0.853,63
717091533,5,1172,0.657,4253,0.75,84
717090183,6,2144,0.654,2117,0.655,48
717087858,3,967,0.569,4253,0.721,74
717085983,6,2517,0.981,4312,0.787,84
717084708,6,1543,0.703,3802,0.447,68
717081483,3,2209,0.799,16606,0.778,96
717078933,3,2517,0.652,4256,0.725,69
717076458,1,1178,0.829,14955,0.925,102
717074283,5,0,0.788,2566,0.815,49
717073308,5,727,0.894,4804,0.814,78
717072108,3,0,0.684,2571,0.419,44
717069033,4,1153,0.534,4778,0.97,65
717066408,3,1518,1.182,2540,0.771,62
717060858,3,2517,0.934,8123,0.732,71
717052158,3,2386,0.743,3492,0.692,66
717050883,5,1617,0.552,4183,0.614,71
717049533,5,1466,0.512,1438,0.556,28
717047583,2,2517,0.929,8912,0.658,63
717045033,6,757,0.648,4677,0.673,87
717042333,3,0,0.92,2836,0.6,48
717038733,5,1375,0.388,1324,0.31,38
717036408,6,1626,0.945,4560,0.588,81
717035283,2,848,0.771,2216,0.56,39
717030633,5,1405,0.624,3034,0.889,51
717028158,3,2082,1.554,2649,0.697,56
717026658,6,0,0.645,2866,0.469,47
717023508,6,1551,0.672,4883,0.735,85
717022533,4,0,0.899,4088,0.886,66
717017808,6,641,0.788,4693,0.627,83
717016833,6,0,0.797,4282,0.725,69
717015333,6,1953,0.809,3974,0.556,70
717013383,4,1518,0.917,2866,0.893,53
717011958,2,0,0.728,4494,0.708,82
717008358,1,0,0.723,7919,0.6,88
717007458,4,1051,0.982,3256,0.919,71
717006333,6,1133,0.759,1935,0.708,41
717004533,2,1189,0.698,4544,0.929,81
717001908,6,0,0.883,2874,0.63,44
717000858,3,1738,0.745,2274,0.733,52
716999883,5,1437,0.584,1405,0.387,43
716998608,3,1252,0.625,1843,0.63,44
716996583,3,1792,1.099,1734,1.188,35
716995083,6,1049,0.874,4218,0.73,64
716993058,5,1640,0.4,4291,0.625,78
716991933,6,0,0.701,820,0.562,25
716990883,5,766,0.682,15260,0.855,115
716989683,4,2465,0.772,3331,0.682,74
716988633,6,0,0.785,1476,0.9,38
716987358,2,0,0.381,5660,0.735,59
716986458,1,1575,0.661,7605,0.603,101
716984658,3,0,0.507,1106,0.938,31
716982483,3,0,0.584,4497,0.612,79
716981358,3,941,0.975,4858,0.738,73
716979183,1,1396,0.851,15527,0.893,106
716977758,2,2517,0.766,1913,0.667,35
716975583,4,1658,0.682,4406,0.676,62
716974383,3,1979,0.629,1911,0.75,35
716973333,3,1676,0.615,5080,0.81,76
716971833,5,0,0.725,4496,0.848,61
716968683,2,1513,0.672,5157,0.946,72
716966808,6,1667,0.566,1497,0.25,35
716963283,2,2517,0.748,2751,1.042,49
716961933,5,1808,0.75,4262,0.667,70
716961033,1,2149,0.539,3630,0.696,78
716959833,5,0,0.536,3973,0.784,66
716955783,6,1160,0.386,4418,0.639,59
716953083,3,1260,0.768,4228,0.884,81
716951658,5,0,0.695,4281,0.822,82
716950758,1,0,0.559,1657,0.654,43
716948283,3,0,0.653,3497,0.683,69
716947083,2,1871,0.847,14593,0.803,110
716944983,4,2517,0.424,1658,0.5,27
716939358,6,0,0.959,4632,0.457,67
716938383,3,0,0.743,3811,0.743,61
716934333,3,2458,0.516,3556,0.581,68
716933283,4,1882,0.743,14738,0.758,116
716932308,5,634,0.909,4460,0.837,79
716931183,3,788,1.193,4296,0.7,68
716930133,3,0,0.797,4594,0.654,86
716929233,3,1607,0.874,5235,0.586,92
716926758,2,0,0.608,4268,0.857,91
716924958,3,1926,0.735,2288,0.778,48
716924058,3,1166,0.803,1417,0.25,25
716922633,6,2517,0.602,2600,0.621,47
716920908,6,1112,1.519,1922,0.655,48
716919633,5,0,1.016,4450,0.698,73
716918508,4,1197,0.621,1602,0.441,49
716915133,5,0,0.666,4397,0.628,70
716911608,4,1017,0.589,3816,0.449,71
716909283,3,0,0.475,3280,0.625,78
716908158,6,2517,1.049,3299,0.73,64
716905158,3,0,0.807,3904,1.118,72
716901858,5,0,0.562,3691,0.51,77
716900433,6,1402,1.127,2384,0.794,61
716899233,6,1965,0.722,4542,0.591,70
716896833,3,1319,0.693,1976,0.75,35
716894658,5,1763,0.796,16824,0.708,123
716893683,4,2517,0.166,6009,0.514,53
716891583,5,970,0.828,4537,1,60
716890533,6,1722,0.937,5377,0.654,86
716882658,6,1632,0.883,2141,0.667,55
716881683,2,2517,0.332,5567,0.545,51
716878533,4,1889,0.475,1425,0.5,33
716877258,4,1374,0.703,4641,0.711,65
716875083,6,0,0.804,2351,0.312,42
716873733,4,2517,0.651,2639,0.71,53
716871633,2,1858,0.645,7222,0.5,93
716870583,6,1628,1.314,2853,0.667,55
716869458,3,704,0.551,2251,0.537,63
716866308,6,1101,0.942,1872,1.125,34
716864733,6,2315,0.599,1805,0.704,46
716863458,2,569,0.919,8570,0.789,68
716860233,3,701,0.819,4124,0.891,87
716858433,4,0,1.058,5372,0.596,75
716856408,5,0,0.777,2392,0.375,44
716855058,5,0,0.89,2557,0.406,45
716853258,5,0,0.904,4253,0.895,72
716851908,1,1099,0.809,4784,0.75,70
716850558,5,1285,0.654,15279,0.649,122
716842908,4,1051,0.785,4986,0.739,80
716841783,4,1292,0.442,5080,0.491,85
716839983,2,0,0.665,4520,0.923,75
716838633,4,1341,0.928,4869,0.615,84
716837508,2,0,0.771,8695,0.583,95
716836308,4,1139,0.632,14791,0.771,124
716835033,4,2086,0.659,1836,0.762,37
716832858,1,159,0.592,7412,0.579,60
716831508,4,1524,0.879,3492,1.034,59
716829483,4,2217,1.06,1988,0.895,36
716825808,5,2216,0.681,4063,0.786,75
716823408,3,1608,0.913,2278,1.139,77
716822583,4,802,0.504,3648,0.574,74
716819958,3,845,0.663,1661,0.4,35
716816583,1,2148,0.738,14463,0.774,94
716815308,4,1489,1.258,3942,0.816,69
716811483,4,0,0.553,1859,0.536,43
716806383,1,1506,0.818,9042,0.605,122
716805408,6,804,0.51,4511,0.682,74
716804283,3,896,0.954,1270,0.833,33
716800908,5,0,0.699,2496,0.581,49
716797758,3,0,0.548,1670,0.65,33
716793108,4,1070,0.448,2334,0.452,61
716791908,5,1045,0.417,4480,0.791,77
716790633,4,0,0.393,1789,0.357,38
716786808,3,0,0.585,3838,0.692,66
716782758,3,0,0.807,2013,0.455,32
716780283,4,1735,0.587,4050,0.935,89
716773533,5,1215,1.175,1712,0.548,48
716769783,3,736,0.679,3943,0.696,78
716768808,6,1967,0.462,1591,0.72,43
716766033,5,1242,0.776,4439,0.806,65
716762733,2,1634,0.776,8300,0.469,94
716761308,3,0,0.732,5199,0.844,83
716758908,4,2213,0.584,4492,0.821,71
716758008,5,1879,0.675,4813,0.729,83
716757033,5,1766,1.186,3045,0.697,56
716756133,4,1237,0.925,5079,0.818,80
716754783,3,1331,0.519,2229,0.375,44
716753058,6,564,0.683,4813,0.814,78
716751858,2,496,0.647,2597,0.379,40
716750358,4,1562,0.573,3483,0.64,82
716748483,2,1569,0.891,16208,0.792,129
716747283,5,1224,0.819,5059,0.681,79
716745408,1,1998,0.837,7803,0.688,81
716742483,2,1134,0.67,7525,0.449,100
716741508,2,1167,0.744,4460,0.857,65
716739258,5,0,0.679,3932,0.771,62
716736858,3,0,0.561,3774,0.818,80
716733933,5,725,0.664,5051,1.065,64
716732958,2,2031,0.724,7925,0.5,90
716728233,1,1480,0.733,14178,0.809,123
716727258,5,0,0.698,4435,0.718,67
716726058,4,1523,0.605,4609,0.756,79
716725008,2,2191,0.682,7886,0.679,94
716723658,1,1519,0.685,13625,1,110
716721483,1,2017,0.99,8696,0.895,72
716717733,2,859,1.003,8918,0.977,87
716716083,6,1878,0.725,4578,0.953,84
716714733,3,955,0.644,3642,0.769,69
716713533,5,1236,0.542,3393,0.871,58
716711433,3,157,0.699,2270,0.394,46
716709858,1,0,0.718,2721,0.688,54
716708583,2,0,0.61,7667,0.789,68
716705433,6,931,1.068,4182,0.696,78
716704158,2,2517,0.778,8087,0.509,86
716702358,5,698,0.836,4048,0.886,83
716698608,2,0,0.46,4441,0.673,87
716697708,3,0,0.838,3121,0.867,56
716695533,3,1557,0.738,3875,0.974,75
716694108,2,468,0.567,2682,0.231,48
716692683,4,0,0.768,2318,0.688,54
716691783,2,2517,0.716,7689,0.68,84
716689383,4,929,0.633,3964,0.75,77
716688183,4,1521,0.874,2878,0.452,45
716686158,5,601,0.607,1621,0.6,32
716685033,1,1600,0.716,5344,0.864,82
716682258,4,1591,0.711,3650,0.676,62
716680983,3,1053,0.941,4924,0.795,70
716675358,5,941,0.711,4607,0.93,83
716673258,1,1488,0.621,3977,0.886,83
716671983,3,1885,0.601,4141,0.711,65
716670783,3,1085,0.998,4776,0.575,63
716669658,6,1608,1.043,2760,0.652,38
716668308,3,0,0.949,3151,0.444,39
716666133,6,0,0.982,4657,0.795,70
716663808,3,721,0.847,15443,0.672,102
716662683,6,1820,0.965,5069,1.025,81
716660583,4,1746,0.661,3696,0.6,72
716657058,2,926,0.762,1566,0.542,37
716655858,1,0,0.768,14036,0.768,99
716654808,3,0,0.777,2084,0.55,31
716653758,3,0,0.739,4226,0.85,74
716647983,5,962,0.418,1574,0.062,34
716645883,3,0,0.659,4297,0.744,68
716644008,4,0,1.007,9931,0.75,70
716643033,3,2137,1.056,2981,0.481,40
716641983,5,753,0.968,4835,0.826,84
716639058,4,0,0.647,3278,0.828,53
716636808,4,0,0.754,3572,0.667,55
716635758,5,2331,0.567,4345,0.511,68
716632758,2,2363,0.75,1295,0.6,40
716631708,4,1990,0.7,4027,0.634,67
716630508,6,2361,0.799,4425,0.63,75
716628633,6,1519,0.787,4406,0.574,74
716626008,4,1659,0.836,4243,0.672,102
716625033,3,0,1.047,2753,0.654,43
716624133,6,1880,0.702,1205,0.462,19
716620458,3,0,0.626,2439,0.703,63
716619558,4,1941,0.748,16401,0.608,119
716617608,6,995,0.615,1936,0.657,58
716615583,3,794,0.953,1834,1.107,59
716614683,5,1255,0.731,3847,0.698,73
716613933,6,1482,0.705,3651,0.818,60
716612958,6,1726,0.856,1830,0.636,36
716610558,3,1559,0.708,2724,0.651,71
716609433,5,2517,1.059,4939,0.465,63
716608608,5,1452,0.929,1084,0.524,32
716606733,2,2054,0.735,4833,0.667,85
716604633,6,2025,0.604,1865,0.767,53
716602683,3,2082,0.83,5092,0.707,70
716600733,3,228,0.904,2572,0.72,43
716596308,5,1640,0.8,1872,0.5,51
716593533,4,0,1.01,3651,0.652,76
716592558,3,1101,0.766,4501,0.7,68
716586408,1,1022,0.603,4187,0.686,86
716584158,6,2517,0.853,2090,0.88,47
716581983,5,929,0.678,4792,0.75,91
716580933,3,1224,0.54,4533,0.625,65
716580033,3,1796,1.182,1872,1.107,59
716578158,6,1592,1.319,3205,0.633,49
716575758,2,0,0.588,1859,0.464,41
716574033,2,1829,0.675,7149,0.623,86
716573058,3,0,0.499,1598,0.29,40
716570958,3,511,0.799,2351,0.3,39
716569983,3,1773,0.774,1765,0.929,27
716568708,6,0,0.844,1099,0.588,27
716567433,3,1229,0.781,4337,1.05,82
716565258,5,0,0.774,2526,0.588,54
716564433,3,0,0.294,1635,0.242,41
716559108,6,2418,0.575,4296,0.838,68
716558283,2,1046,0.729,5247,0.615,84
716556258,6,0,0.966,4401,1.069,60
716552433,4,1067,0.749,15926,0.519,117
716551533,2,2201,0.718,4779,0.792,86
716549058,3,2290,1.612,1998,0.464,41
716548083,4,2360,1.257,2593,0.781,57
716546283,6,943,0.686,3944,0.674,72
716545383,3,1554,1.087,1154,1.235,38
716543433,1,1049,0.976,15195,0.941,99
716537433,5,2005,0.835,5170,0.659,68
716535408,3,1462,0.558,3843,0.605,69
716532258,4,1308,0.79,3291,0.618,55
716530533,3,1640,0.873,4094,0.638,77
716529258,5,0,1.009,1591,0.75,35
716522583,4,1845,0.537,1362,0.269,33
716520033,6,1448,0.723,4639,0.743,61
716516208,4,0,0.674,3748,0.829,64
716513358,5,1802,0.651,4402,0.75,91
716512383,1,2517,0.742,4817,0.776,87
716511483,3,1400,0.646,3404,1.16,54
716510658,4,2353,0.924,2526,0.577,41
716506083,5,0,0.819,10291,0.818,60
716501133,6,1154,0.605,3912,0.717,79
716498883,6,685,0.605,3577,0.882,64
716497908,3,0,0.873,3698,0.625,65
716494383,3,931,0.62,4399,0.733,78
716493408,4,1719,0.86,1592,1.467,37
716492583,6,1708,0.903,4539,0.745,89
716487408,3,2517,1.091,1637,0.87,43
716486508,6,0,0.991,5529,0.66,78
716485308,4,1541,0.839,5008,0.722,93
716484333,6,1177,0.686,4410,0.826,84
716483358,5,1329,0.646,5481,0.7,68
716482533,2,0,0.814,14893,0.815,98
716481408,3,0,0.681,4769,0.949,76
716480358,2,1296,0.789,13814,1.025,81
716479233,5,1721,0.908,1080,1.333,21
716477133,3,838,0.61,3910,0.63,75
716475183,3,753,0.858,4326,0.761,81
716474358,5,729,0.902,4853,0.644,74
716471508,5,0,0.59,4350,0.766,83
716470683,3,2048,0.676,4827,0.711,77
716468658,3,0,0.647,4101,0.702,80
716466483,3,1342,0.687,4624,0.706,87
716464533,4,2517,0.713,13783,0.841,116
716462658,3,0,0.74,1387,0.333,36
716461683,5,1339,0.556,4134,1,72
716460933,4,1427,0.709,1456,0.294,44
716458983,5,837,1.859,1424,1.417,29
716457783,3,1661,0.718,14378,0.69,98
716456808,6,1263,0.615,2429,0.643,69
716455683,3,726,0.556,1279,0.867,28
716454858,6,2266,0.718,14257,0.958,94
716453883,6,1839,0.911,4423,0.703,63
716452908,4,1421,0.823,2246,0.833,44
716452083,5,1150,1.064,2052,0.724,50
716451183,5,1711,1.434,1706,1.625,21
716448783,2,0,0.848,1225,0.478,34
716447733,5,963,1.052,1921,0.72,43
716445783,4,0,0.791,1191,1.176,37
716444733,5,0,0.907,4271,0.756,79
716443608,2,1235,0.83,4050,0.814,78
716442333,6,1468,0.757,4977,0.692,88
716441058,2,0,0.788,13820,0.65,99
716439258,1,1413,1.009,13648,0.635,103
716438433,4,1449,0.819,4002,0.571,66
716437533,5,0,0.52,4101,0.66,88
716436483,4,0,0.554,2521,0.667,50
716434533,2,0,0.615,2106,0.697,56
716432658,5,0,0.646,4490,0.625,65
716431833,3,1165,0.966,4614,0.714,96
716430933,2,0,0.89,13740,0.819,131
716425833,5,1229,0.427,1797,0.296,35
716421633,4,0,0.973,3174,0.222,44
716420358,5,1490,0.66,3151,0.66,78
716414958,3,1927,0.631,3659,0.833,66
716411358,5,0,0.665,4676,0.773,78
716408058,5,1298,0.626,3673,0.565,72
716406483,1,1349,0.961,13124,0.746,103
716404383,1,2517,0.813,2315,0.625,52
716403633,5,1650,0.622,4467,1.029,69
716402508,4,1681,0.577,4265,0.776,87
716400633,6,1427,0.48,2057,0.421,54
716399583,6,1251,1.399,2286,0.696,39
716396358,5,1910,0.921,1531,0.667,35
716393958,4,1483,0.668,3855,0.61,66
716390958,1,0,0.55,1697,0.424,47
716389833,4,1026,0.521,4099,0.721,74
716387733,1,1484,0.434,1693,0.25,25
716385858,5,1245,0.925,4921,0.8,90
716385033,6,1201,0.77,4157,0.651,71
716383683,4,0,0.7,1338,0.867,28
716382708,3,858,0.888,1165,0.4,35
716381808,4,0,0.743,3820,0.63,75
716380683,6,1542,1.015,1598,0.5,39
716378658,5,1476,0.537,1725,0.414,41
716375883,6,1558,0.511,1716,0.462,38
716374308,4,1875,0.907,1897,1.083,50
716373483,4,2517,0.38,1544,0.364,45
716372358,1,0,0.739,14133,0.771,124
716371308,6,0,0.751,4497,0.826,84
716370258,5,1067,0.618,4537,0.435,66
716369208,6,1223,0.718,4954,0.783,82
716368008,4,959,1.008,2925,0.414,41
716366208,2,0,0.986,5221,0.673,82
716365233,1,964,1.049,4881,0.923,75
716364408,4,0,0.622,4155,0.632,62
716363658,4,582,0.769,3920,0.647,84
716362008,3,1009,0.796,1744,0.944,35
716358033,6,0,0.538,5004,0.806,65
716357058,4,787,0.298,2955,0.6,56
716355783,5,0,0.685,1999,0.571,44
716354883,2,0,0.899,3048,0.656,53
716353083,4,1028,0.553,4444,0.565,72
716352033,3,1035,0.664,4869,0.857,78
716351208,1,2517,0.57,4175,1.026,77
716350008,2,1633,0.857,8235,0.522,102
716349183,5,0,0.905,2160,0.929,54
716346183,3,1557,0.621,4169,0.5,72
716345283,5,1920,0.596,4277,0.571,66
716343408,3,1385,0.611,1381,0.481,40
716341833,6,1730,0.683,1774,0.85,37
716340783,1,1320,0.762,14441,0.875,105
716335983,1,1590,0.847,7946,0.667,85
716334258,5,1365,1.027,1834,1.263,43
716333283,1,1255,0.847,5269,0.633,80
716332533,6,1819,0.894,4712,0.909,84
716331408,1,0,0.853,1353,0.333,36
716329383,4,986,1.002,4724,0.806,56
716328558,4,0,0.84,4520,0.844,83
716324583,1,1892,0.75,4577,0.688,81
716323683,2,1607,0.752,13177,0.738,106
716322783,2,1628,0.665,4538,0.762,74
716321583,5,1173,1.04,3441,0.719,55
716319258,1,1742,0.661,7360,0.745,82
716317458,3,0,0.447,1723,0.375,44
716315508,2,2517,0,1339,0,32
716313858,6,913,0.612,4560,1.049,84
716311683,4,1448,0.655,3452,0.862,54
716310633,6,2481,0.588,5037,0.68,84
716308683,6,1993,0.815,4267,0.886,66
716307558,6,1506,0.618,2214,0.484,46
